timestamp, hostName, cpuDemand, cpuUsage, cpuUtilization, cpuIdleTime, energyUsage
2940, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2940, host-2, 7840.0, 7840.0, 0.8, 0.05, 518, 60.0
2940, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3000, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3000, host-1, 121520.0, 121520.0, 0.8, 0.775, 1060, 205.0
3000, host-2, 0.0, 0.0, 0.8, 0.0, 2097, 50.0
3000, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3060, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3060, host-1, 125440.0, 125440.0, 0.799, 0.8, 1643, 207.5
3060, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3060, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3120, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3120, host-1, 125440.0, 125440.0, 0.798, 0.8, 1177, 210.0
3120, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3120, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3180, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3180, host-1, 121520.0, 121520.0, 0.799, 0.775, 3477, 205.0
3180, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3180, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3240, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3240, host-1, 98000.0, 98000.0, 0.8, 0.625, 614, 175.0
3240, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3240, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3300, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3300, host-1, 92120.0, 92120.0, 0.8, 0.5875, 1743, 167.5
3300, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3300, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3360, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3360, host-1, 76440.0, 76440.0, 0.8, 0.4875, 4746, 147.5
3360, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3360, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3420, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3420, host-1, 66640.0, 66640.0, 0.8, 0.425, 3024, 135.0
3420, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3420, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3480, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3480, host-1, 58800.0, 58800.0, 0.8, 0.375, 2478, 125.0
3480, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3480, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3540, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3540, host-1, 54880.0, 54880.0, 0.8, 0.35, 1246, 120.0
3540, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3540, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3600, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3600, host-1, 43120.0, 43120.0, 0.8, 0.275, 3801, 105.0
3600, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3600, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3660, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3660, host-1, 35280.0, 35280.0, 0.8, 0.225, 2581, 95.0
3660, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
3660, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
3720, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
3720, host-1, 25480.0, 25480.0, 0.8, 0.1625, 3278, 82.5
3720, host-2, 0.0, 0.0, 0.0, 0.0, 0, 50.0
